Mes,PIB,Inflacao,Taxa de Juros,Taxa de Cambio,Patentes,Saldo de emprego
01-01-05,1.4,0.58,17.93,2.69,94,Positivo
01-02-05,1.4,0.59,15.64,2.6,68,Positivo
01-03-05,1.4,0.61,19.96,2.7,95,Positivo
01-04-05,1.5,0.87,18.32,2.58,109,Positivo
01-05-05,1.5,0.49,19.61,2.45,92,Positivo
01-06-05,1.5,-0.02,20.78,2.41,107,Positivo
01-07-05,0.7,0.25,19.72,2.37,89,Positivo
01-08-05,0.7,0.17,21.82,2.36,83,Positivo
01-09-05,0.7,0.35,19.61,2.29,89,Positivo
01-10-05,0.73,0.75,18.26,2.26,99,Positivo
01-11-05,0.73,0.55,17.89,2.21,96,Negativo
01-12-05,0.73,0.36,19.19,2.29,113,Negativo
01-01-06-,1.43,0.59,18.57,2.27,83,Positivo
01-02-06,1.43,0.41,14.64,2.16,81,Positivo
01-03-06,1.43,0.43,18.47,2.15,85,Positivo
01-04-06,0.77,0.21,13.73,2.13,94,Positivo
01-05-06,0.77,0.1,16.51,2.18,88,Positivo
01-06-06,0.77,-0.21,15.18,2.25,107,Positivo
01-07-06,1.5,0.19,14.98,2.19,127,Positivo
01-08-06,1.5,0.05,16.16,2.16,104,Positivo
01-09-06,1.5,0.21,13.45,2.17,103,Positivo
01-10-06,1.6,0.33,13.95,2.15,117,Positivo
01-11-06,1.6,0.31,12.96,2.16,103,Positivo
01-12-06,1.6,0.48,12.52,2.15,129,Negativo
01-01-07,1.73,0.44,13.8,2.14,76,Positivo
01-02-07,1.73,0.44,10.99,2.1,70,Positivo
01-03-07,1.73,0.37,13.38,2.09,110,Positivo
01-04-07,2.16,0.25,11.95,2.03,112,Positivo
01-05-07,2.16,0.28,13.06,1.98,116,Positivo
01-06-07,2.18,0.28,11.43,1.93,120,Positivo
01-07-07,1.97,0.24,12.32,1.88,108,Positivo
01-08-07,1.97,0.47,12.58,1.97,135,Positivo
01-09-07,1.97,0.18,10.1,1.9,93,Positivo
01-10-07,2.2,0.3,11.74,1.8,133,Positivo
